
============================================================
  PROJECT ECHO – Session 2026-05-17 13:00:12
============================================================
[13:00:12.436] [STATE_CHANGE ] ECHO-06  | WANDER -> SEEK_FOOD
[13:00:13.904] [STATE_CHANGE ] ECHO-01  | WANDER -> SOCIALIZE
[13:00:13.905] [SOCIAL       ] ECHO-01  | interacting with ECHO-11
[13:00:13.923] [STATE_CHANGE ] ECHO-01  | SOCIALIZE -> WANDER
[13:00:13.990] [STATE_CHANGE ] ECHO-01  | WANDER -> SEEK_FOOD
[13:00:14.089] [STATE_CHANGE ] ECHO-08  | WANDER -> SEEK_FOOD
[13:00:15.449] [STATE_CHANGE ] ECHO-07  | WANDER -> SEEK_FOOD
[13:00:15.516] [STATE_CHANGE ] ECHO-02  | WANDER -> SEEK_FOOD
[13:00:19.239] [STATE_CHANGE ] ECHO-04  | WANDER -> SOCIALIZE
[13:00:19.240] [STATE_CHANGE ] ECHO-10  | WANDER -> SEEK_FOOD
[13:00:19.588] [STATE_CHANGE ] ECHO-05  | WANDER -> SEEK_FOOD
[13:00:21.239] [STATS        ]          | pop=12  avg_hunger= 57.0  avg_energy= 61.6  hungry=7  social_events=1
[13:00:21.665] [STATE_CHANGE ] ECHO-12  | WANDER -> SEEK_FOOD
[13:00:23.237] [FOOD_FOUND   ] ECHO-02  | ate at (36, 292)
[13:00:23.255] [STATE_CHANGE ] ECHO-02  | SEEK_FOOD -> WANDER
[13:00:23.387] [STATE_CHANGE ] ECHO-03  | WANDER -> SEEK_FOOD
[13:00:23.388] [FOOD_FOUND   ] ECHO-03  | ate at (390, 57)
[13:00:23.404] [STATE_CHANGE ] ECHO-03  | SEEK_FOOD -> WANDER
[13:00:24.102] [FOOD_FOUND   ] ECHO-06  | ate at (393, 704)
[13:00:24.199] [FOOD_FOUND   ] ECHO-12  | ate at (329, 633)
[13:00:24.217] [STATE_CHANGE ] ECHO-12  | SEEK_FOOD -> WANDER
[13:00:24.266] [STATE_CHANGE ] ECHO-11  | WANDER -> SEEK_FOOD
[13:00:24.316] [STATE_CHANGE ] ECHO-09  | WANDER -> SEEK_FOOD
[13:00:24.515] [FOOD_FOUND   ] ECHO-01  | ate at (515, 470)
[13:00:24.533] [STATE_CHANGE ] ECHO-01  | SEEK_FOOD -> SOCIALIZE
[13:00:24.712] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> SEEK_FOOD
[13:00:24.846] [SOCIAL       ] ECHO-01  | interacting with ECHO-11
[13:00:25.258] [IDLE_ENTER   ] ECHO-03  | pausing for 4.8s
[13:00:25.322] [STATE_CHANGE ] ECHO-03  | WANDER -> SOCIALIZE
[13:00:26.118] [STATE_CHANGE ] ECHO-01  | SOCIALIZE -> WANDER
[13:00:26.152] [STATE_CHANGE ] ECHO-01  | WANDER -> SOCIALIZE
