==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:25:39
==============================================================
  File              : logs\echo_2026-05-17_14-25-39.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:25:41.507] [STATE_CHANGE        ] ECHO-03  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=62 e=58 s=82
[14:25:41.508] [STATE_CHANGE        ] ECHO-04  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=67 e=50 s=79
[14:25:41.508] [STATE_CHANGE        ] ECHO-09  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=57 e=94 s=57
[14:25:43.999] [IDLE_ENTER          ] ECHO-01  | pausing for 3.4s
[14:25:43.999] [IDLE_ENTER          ] ECHO-07  | pausing for 2.7s
[14:25:43.999] [IDLE_ENTER          ] ECHO-08  | pausing for 3.9s
[14:25:43.999] [IDLE_ENTER          ] ECHO-11  | pausing for 3.6s
[14:25:44.015] [STATE_CHANGE        ] ECHO-10  | WANDER (4.5s) -> SEEK_FOOD  [normal]  h=55 e=59 s=64
[14:25:44.502] [STATS               ]          | pop=12  avg_hunger= 54.6  avg_energy= 64.6  hungry=4  social_events=0
[14:25:45.324] [FOOD_FOUND          ] ECHO-09  | ate at (981, 300)  total=1
[14:25:45.359] [STATE_CHANGE        ] ECHO-05  | WANDER (5.9s) -> SEEK_FOOD  [normal]  h=55 e=62 s=39
[14:25:45.676] [STATE_CHANGE        ] ECHO-12  | WANDER (6.2s) -> SEEK_FOOD  [normal]  h=55 e=76 s=75
[14:25:45.692] [STATE_CHANGE        ] ECHO-01  | WANDER (6.2s) -> SEEK_FOOD  [normal]  h=55 e=48 s=50
[14:25:46.193] [STATE_CHANGE        ] ECHO-11  | WANDER (6.7s) -> SEEK_FOOD  [normal]  h=55 e=82 s=61
[14:25:46.393] [STATE_CHANGE        ] ECHO-06  | WANDER (6.9s) -> SEEK_FOOD  [normal]  h=55 e=49 s=68
[14:25:46.907] [STATE_CHANGE        ] ECHO-07  | WANDER (7.4s) -> SEEK_FOOD  [normal]  h=55 e=82 s=65
[14:25:47.324] [FOOD_FOUND          ] ECHO-03  | ate at (884, 436)  total=1
[14:25:47.735] [FOOD_FOUND          ] ECHO-05  | ate at (1070, 170)  total=1
[14:25:47.751] [STATE_CHANGE        ] ECHO-05  | SEEK_FOOD (2.4s) -> WANDER  [normal]  h=30 e=55 s=35
[14:25:47.947] [STATE_CHANGE        ] ECHO-08  | WANDER (8.5s) -> SEEK_FOOD  [normal]  h=55 e=77 s=75
[14:25:47.982] [STATE_CHANGE        ] ECHO-02  | WANDER (8.5s) -> SEEK_FOOD  [normal]  h=55 e=46 s=70
[14:25:48.414] [FOOD_FOUND          ] ECHO-09  | ate at (949, 325)  total=2
[14:25:48.429] [STATE_CHANGE        ] ECHO-09  | SEEK_FOOD (6.9s) -> WANDER  [normal]  h=15 e=75 s=46
[14:25:49.510] [STATS               ]          | pop=12  avg_hunger= 62.9  avg_energy= 53.1  hungry=10  social_events=0
[14:25:50.508] [FOOD_FOUND          ] ECHO-01  | ate at (623, 98)  total=1
[14:25:50.623] [FOOD_FOUND          ] ECHO-10  | ate at (547, 189)  total=1
[14:25:50.791] [FOOD_FOUND          ] ECHO-03  | ate at (901, 399)  total=2
[14:25:50.807] [STATE_CHANGE        ] ECHO-03  | SEEK_FOOD (9.3s) -> WANDER  [normal]  h=29 e=32 s=68
[14:25:50.961] [FOOD_FOUND          ] ECHO-11  | ate at (594, 152)  total=1
[14:25:50.961] [RIVALRY             ] ECHO-11  | with ECHO-01  | affinity=  -2.7 (Δ-3.0)
[14:25:51.378] [FOOD_FOUND          ] ECHO-08  | ate at (998, 522)  total=1
[14:25:51.394] [STATE_CHANGE        ] ECHO-08  | SEEK_FOOD (3.4s) -> WANDER  [normal]  h=34 e=67 s=70
[14:25:51.826] [FOOD_FOUND          ] ECHO-02  | ate at (1208, 619)  total=1
[14:25:52.176] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=20.0 risk=0.73
[14:25:52.193] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.9 risk=0.73
[14:25:52.210] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.9 risk=0.73
[14:25:52.226] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.8 risk=0.73
[14:25:52.243] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.8 risk=0.73
[14:25:52.259] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.7 risk=0.73
[14:25:52.276] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.7 risk=0.73
[14:25:52.293] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.6 risk=0.73
[14:25:52.309] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.6 risk=0.73
[14:25:52.326] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.5 risk=0.73
[14:25:52.342] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.5 risk=0.73
[14:25:52.358] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.4 risk=0.73
[14:25:52.374] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.4 risk=0.73
[14:25:52.391] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.4 risk=0.73
[14:25:52.408] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.3 risk=0.73
[14:25:52.425] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.3 risk=0.73
[14:25:52.441] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.2 risk=0.73
[14:25:52.458] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.2 risk=0.73
[14:25:52.475] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.1 risk=0.73
[14:25:52.491] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.1 risk=0.73
[14:25:52.509] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.0 risk=0.73
[14:25:52.525] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=19.0 risk=0.73
[14:25:52.542] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.9 risk=0.73
[14:25:52.560] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.9 risk=0.73
[14:25:52.576] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.8 risk=0.73
[14:25:52.592] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.8 risk=0.73
[14:25:52.609] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.7 risk=0.73
[14:25:52.626] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.7 risk=0.73
[14:25:52.642] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.7 risk=0.73
[14:25:52.659] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.6 risk=0.73
[14:25:52.676] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.6 risk=0.73
