==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:54.740] [FOOD_CLAIM          ] ECHO-01  | food at (782,448)
[14:40:54.740] [STATE_CHANGE        ] ECHO-04  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=63 e=55 s=60
[14:40:54.741] [FOOD_CLAIM          ] ECHO-04  | food at (725,422)
[14:40:54.742] [STATE_CHANGE        ] ECHO-06  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=58 e=95 s=55
[14:40:54.742] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:54.743] [STATE_CHANGE        ] ECHO-10  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=65 e=54 s=50
[14:40:54.744] [FOOD_CLAIM          ] ECHO-10  | food at (405,500)
[14:40:54.755] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:54.760] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:54.772] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:54.775] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:54.788] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:54.792] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:54.805] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:54.807] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:54.822] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:54.823] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
